annual_income,debt_to_income_ratio,credit_history_length,open_credit_lines,approved
92744,19.4,2.5,8,0
107951,8.1,7.9,13,1
172357,23.5,1.8,8,1
149808,11.1,17.3,1,1
76028,13.6,8.0,7,0
143657,17.1,20.1,10,1
59911,53.5,0.2,2,0
152182,58.6,26.9,0,1
93189,64.7,25.2,9,0
101098,9.3,22.8,9,1
87725,31.5,24.2,11,1
174228,45.2,15.0,8,1
91325,11.2,15.6,15,1
130982,56.1,12.7,7,0
148362,23.7,1.8,2,1
91684,20.4,22.9,13,1
134398,53.8,14.0,1,1
87761,32.1,17.2,5,0
100079,61.3,11.7,2,0
144544,21.3,6.6,1,1
63258,32.8,5.3,1,0
80570,29.9,27.2,12,0
19278,9.4,2.7,3,0
90860,6.6,22.7,11,1
109328,27.4,29.4,11,1
154601,50.0,22.0,3,1
178011,43.9,13.2,12,0
81936,17.2,18.7,14,0
142678,58.0,7.5,7,0
23802,23.7,9.3,10,0
117234,18.0,18.8,3,1
164728,20.6,28.9,1,1
176256,26.7,11.8,13,1
145208,39.7,10.7,7,0
123782,24.1,16.5,4,1
148098,13.1,22.4,15,1
142161,17.3,25.9,7,1
117794,63.1,13.5,6,0
177609,50.2,5.9,13,0
177457,57.5,8.8,3,1
144856,5.2,9.2,4,1
107121,52.6,24.7,3,1
19207,14.6,11.8,2,0
19254,11.7,27.2,15,0
73810,17.8,6.7,13,0
166848,32.1,26.4,7,1
135371,60.9,10.9,7,0
73862,43.4,5.2,4,0
135067,10.8,26.2,10,1
60513,40.6,28.3,1,1
138203,44.8,29.7,2,1
23578,23.9,27.2,9,0
162646,50.6,23.4,2,1
152902,11.2,12.8,8,1
51107,40.1,21.2,8,0
112568,58.2,19.2,9,0
41499,59.7,0.8,10,0
130440,56.5,18.5,3,1
68960,50.6,14.4,13,0
91110,50.0,13.8,15,0
134044,59.7,20.3,9,0
173900,55.8,15.2,14,0
37269,20.8,0.7,7,0
149592,51.8,2.3,14,0
155087,50.4,11.6,3,0
170478,5.1,5.8,7,1
90562,44.7,5.2,11,0
87423,36.5,28.7,1,1
98154,10.1,14.6,6,1
173270,8.1,3.4,11,1
81535,58.8,20.7,7,0
80185,41.2,12.0,1,0
179954,16.8,26.7,6,1
112733,5.5,20.7,2,1
161105,9.7,0.9,0,1
127595,48.5,29.5,3,1
114698,58.9,19.9,12,0
33597,20.9,25.2,1,1
37053,30.0,0.2,4,0
164577,58.7,15.7,0,1
24616,18.8,4.5,14,0
167680,63.5,10.9,9,0
170162,49.8,1.8,5,0
17286,7.9,11.9,9,0
52627,26.1,18.3,1,0
70785,5.9,22.1,2,1
87552,7.8,17.1,6,1
155832,31.5,3.3,7,1
132456,18.1,10.1,11,1
39304,49.1,13.3,12,0
38425,55.0,11.6,13,0
137496,18.6,9.4,0,1
133154,50.2,4.7,14,0
35046,25.6,0.2,11,0
110123,46.7,6.8,6,0
118229,53.3,3.8,10,0
135060,6.5,4.9,1,1
140297,51.5,22.4,6,0
104385,11.6,20.9,15,1
120253,61.3,4.2,6,0
89934,39.1,0.8,12,0
86906,49.6,16.2,5,0
24193,24.9,19.5,14,0
54247,13.5,12.1,1,1
148254,61.2,17.1,4,0
153734,50.4,8.8,8,0
34381,16.8,21.0,5,1
75927,16.5,21.5,13,1
84230,42.5,16.9,14,0
94080,56.1,12.5,6,0
30718,24.0,18.5,12,0
179330,11.0,23.6,2,1
19703,27.2,24.1,2,1
87411,22.0,4.0,3,0
110021,13.4,12.7,13,1
19470,31.2,5.6,4,0
79815,42.9,18.8,10,0
53351,40.8,16.1,2,0
42577,40.7,15.0,5,0
158418,6.6,14.4,8,1
151726,11.3,28.5,7,1
167025,63.1,29.4,4,1
90986,12.1,18.8,3,1
144811,60.8,9.7,4,0
168023,53.2,16.0,1,1
165395,29.9,23.1,8,1
103846,18.2,23.2,4,1
140650,58.7,1.8,4,0
163558,28.6,18.8,7,1
53472,62.8,10.9,9,0
145207,61.5,3.3,11,0
65710,29.3,26.2,14,0
73140,61.1,2.1,10,0
125793,21.1,25.9,5,1
105625,35.2,19.6,2,1
179201,22.5,4.5,1,1
24146,29.1,7.4,12,0
141624,44.2,1.4,9,0
57605,8.6,9.3,14,0
177782,48.4,4.5,10,0
73795,41.2,25.8,10,0
161249,39.2,14.1,14,1
83482,35.5,29.5,6,1
163830,62.6,27.8,3,1
53018,8.0,13.2,1,1
169270,18.9,9.6,14,1
171922,40.5,17.5,3,1
174959,15.4,28.6,14,1
127901,31.9,29.6,15,1
27849,25.3,6.7,8,0
151443,55.7,8.2,12,0
71722,32.9,24.8,10,1
44593,13.6,17.2,2,1
40126,26.1,8.4,1,0
83658,60.2,16.1,15,0
73548,17.5,5.9,4,0
152440,5.6,9.2,6,1
23226,18.5,2.3,9,0
130287,56.4,1.1,4,0
147356,30.8,19.3,15,1
111994,46.3,11.5,4,0
39162,59.6,27.9,12,0
153132,42.9,7.7,13,0
36820,15.2,23.5,7,0
33300,19.4,22.1,3,1
173135,39.3,28.6,0,1
158557,52.4,15.6,5,1
73911,41.8,25.7,1,1
138199,41.8,29.4,9,1
157302,10.2,24.0,3,1
114297,20.2,11.5,4,1
15606,22.9,12.0,3,0
127452,36.9,24.2,4,1
159137,52.9,10.4,6,1
64840,43.0,16.7,15,0
116473,29.8,15.9,4,1
20040,53.8,10.8,14,0
179314,51.4,6.4,3,1
81465,7.7,29.9,3,1
116163,29.7,29.9,5,1
48460,63.3,23.9,12,0
121697,31.1,26.8,15,1
146109,62.7,29.0,15,0
65080,14.0,14.7,12,0
124504,26.4,23.6,6,1
111979,42.1,11.8,6,0
151390,33.3,29.4,5,1
72979,43.7,1.4,1,0
88556,17.2,0.3,14,0
106359,59.8,13.0,5,0
84366,60.3,21.0,9,0
95991,34.9,11.4,5,1
77778,29.0,24.1,13,0
15128,26.5,23.1,4,0
134203,29.8,3.4,12,1
20189,36.9,25.0,11,0
83725,35.8,16.0,2,1
151845,40.9,9.6,5,1
154270,50.0,16.5,3,0
101224,61.1,2.5,12,0
176657,64.9,13.7,4,0
164377,9.3,12.9,14,1
179386,54.0,23.9,7,1
63579,49.7,14.5,0,0
108950,49.6,29.5,13,0
94118,20.1,23.8,2,1
73910,6.9,26.9,2,1
41603,24.5,5.6,9,0
35173,28.0,9.2,3,0
94245,55.3,15.4,7,0
104837,34.9,4.0,1,0
164428,41.6,10.1,13,0
26850,15.3,5.4,14,0
141034,48.8,22.7,3,1
104315,30.2,15.0,2,1
25093,49.8,11.3,13,0
153896,20.0,28.1,5,1
24403,10.6,9.7,6,0
28450,53.6,11.0,4,0
127326,21.2,16.6,10,1
152445,63.1,21.7,4,0
131362,48.1,17.7,8,0
55610,63.5,28.1,9,0
20868,57.9,10.2,12,0
51599,48.9,12.6,10,0
165008,41.9,9.7,8,0
121616,35.0,11.9,13,0
146195,33.0,21.9,7,1
44415,46.0,26.5,14,0
127545,54.6,25.1,13,0
100015,56.5,14.9,10,0
62759,57.8,12.8,3,0
68318,45.8,22.4,8,0
112717,59.6,23.5,5,0
71484,57.7,3.8,2,0
178356,20.4,6.7,4,1
137114,14.5,27.7,8,1
122671,7.2,26.9,8,1
150239,52.5,20.4,4,1
158447,62.0,15.3,9,0
24324,15.5,4.7,5,0
88143,29.8,2.3,13,0
142692,6.3,4.2,2,1
17921,52.8,15.2,8,0
122923,55.0,12.6,13,0
48358,42.2,27.2,4,0
142442,27.8,25.8,13,1
29656,29.3,16.4,7,0
55238,45.8,2.7,9,0
95581,64.7,12.7,3,0
62929,23.6,3.2,5,0
39441,60.5,4.0,7,0
69052,44.0,20.0,0,1
122852,17.0,18.9,3,1
103604,64.7,3.5,12,0
144077,55.9,23.8,12,0
83754,35.9,5.0,13,0
110895,27.7,4.2,12,0
122610,13.5,0.6,6,1
80122,40.8,16.0,12,0
123927,22.7,29.9,5,1
139303,19.6,6.2,2,1
74476,59.0,24.9,6,0
137461,63.6,25.9,2,1
150794,12.1,21.2,4,1
131174,19.7,19.9,1,1
80116,56.2,5.0,15,0
26376,22.8,27.7,13,0
66680,17.9,4.3,10,0
80663,46.6,8.0,9,0
89050,21.1,4.9,3,1
69697,14.5,21.5,11,1
170197,39.1,17.3,5,1
163370,13.3,10.5,14,1
51878,58.3,13.6,8,0
53350,59.7,20.4,5,0
36271,58.5,13.3,11,0
135481,28.2,9.9,2,1
42239,8.6,13.0,7,1
175918,39.7,23.4,2,1
176409,56.5,15.0,7,1
154345,42.2,3.2,11,0
98873,28.9,15.4,14,0
113886,38.0,17.8,9,1
62491,36.4,26.4,0,1
153837,14.4,10.5,5,1
79369,63.9,13.3,5,0
122928,53.8,18.9,3,1
111881,57.7,13.3,11,0
53812,29.4,23.1,15,1
40402,6.1,12.3,0,1
144284,16.0,7.0,10,1
104526,62.3,6.2,8,0
116581,31.8,12.0,0,1
149758,41.4,5.4,15,0
173476,57.2,22.1,7,1
48688,32.0,7.6,14,0
166309,26.6,0.9,7,0
152837,29.5,5.6,12,0
119003,8.2,3.1,4,1
45152,16.6,17.3,14,0
20705,7.9,11.6,10,0
159619,32.9,8.4,4,1
143769,29.1,4.0,6,0
99630,11.7,20.4,15,1
145864,35.2,28.5,0,1
104419,16.9,28.7,5,1
96342,12.0,16.1,8,1
147805,21.6,27.6,6,1
61010,11.6,27.9,2,1
70668,62.2,13.1,9,0
82373,50.1,19.6,15,0
114390,51.4,18.2,8,0
53840,62.0,18.6,7,0
113344,21.4,17.1,2,1
19578,13.2,5.9,15,0
74849,37.2,5.8,13,0
99996,29.1,3.4,15,0
167790,58.8,21.5,13,0
44576,5.8,23.6,4,1
43853,46.5,7.0,13,0
72860,59.5,28.8,11,0
81912,42.3,0.2,13,0
133376,34.8,5.9,10,0
29638,9.0,25.0,3,1
99534,51.7,4.5,4,0
119847,24.8,19.2,11,1
86475,59.0,29.5,10,0
145790,57.9,9.1,8,0
148461,35.4,25.4,1,1
76203,14.3,2.5,10,0
26794,32.5,1.4,15,0
158353,41.5,3.7,9,0
70902,33.2,18.1,10,0
23705,61.6,10.2,12,0
110182,30.6,1.6,9,0
21551,32.5,25.6,9,0
93324,21.5,6.6,1,1
74429,10.0,16.4,13,1
75301,63.5,1.5,13,0
132768,9.3,0.6,10,1
49580,46.0,18.7,12,0
122678,55.7,0.9,13,0
154901,15.2,16.7,0,1
134230,56.9,10.6,15,0
121857,29.5,26.3,12,1
48287,23.9,18.0,11,0
128430,50.7,20.6,9,1
15263,14.9,3.0,3,0
105383,41.8,5.8,6,0
130418,43.6,8.1,7,0
110763,55.7,5.2,14,0
62579,26.1,15.7,10,0
178096,15.8,7.6,14,1
88970,19.1,18.5,1,1
44406,16.8,29.9,14,1
151933,51.5,3.0,6,0
114726,61.1,11.8,13,0
97319,39.9,6.5,1,0
45064,5.7,5.3,0,0
49832,22.6,29.4,2,1
139241,12.8,6.6,11,1
53932,9.3,23.8,2,1
168533,46.4,19.5,9,1
53940,20.3,0.1,1,0
42267,17.4,13.1,5,0
77444,35.0,17.0,1,0
25538,15.0,6.3,15,0
35493,22.6,16.0,5,0
147443,46.7,12.3,7,0
153450,30.0,6.5,12,0
125816,61.2,7.7,2,0
100696,40.5,23.1,0,1
177452,58.6,28.4,13,1
134411,16.5,7.4,7,1
52972,38.2,27.4,13,0
123226,20.3,0.2,0,1
160616,53.1,22.5,12,0
166825,43.5,19.0,10,1
48302,42.4,1.0,15,0
93899,35.8,16.8,14,0
90297,39.0,6.2,7,0
102899,40.9,8.3,4,0
132252,45.5,9.0,5,0
98322,58.8,15.3,5,0
85541,36.7,25.0,4,1
148034,51.5,2.3,8,0
124870,58.5,10.3,6,0
108689,61.3,4.8,6,0
163508,29.9,10.2,15,0
38429,25.1,0.9,7,0
173858,55.7,0.7,9,0
129272,25.2,11.1,15,0
63856,54.7,17.4,15,0
159161,17.7,23.9,7,1
52386,16.9,21.3,4,1
97046,55.9,4.2,9,0
73245,35.5,18.2,7,0
119089,40.8,12.8,9,0
72364,28.9,7.2,5,0
77722,64.7,4.8,4,0
107665,46.2,27.9,3,1
95466,24.9,12.0,3,1
124313,7.3,16.0,8,1
90111,33.9,13.2,5,0
148476,32.8,1.6,9,0
114220,24.5,3.3,10,0
83947,18.4,11.7,4,0
117447,48.6,10.5,15,0
169593,26.8,17.4,7,1
56414,19.4,29.8,9,1
171300,15.7,9.2,10,1
88058,7.4,9.9,3,1
25793,17.2,14.1,12,0
123585,19.3,11.7,14,1
158748,25.4,16.2,2,1
89937,55.6,17.1,5,0
122482,23.8,22.1,15,1
99165,40.9,20.2,3,1
119244,46.8,10.7,11,0
149881,47.3,20.4,6,1
86339,41.4,13.4,12,0
67280,29.5,5.5,3,0
144200,60.6,0.1,15,0
108353,64.6,4.0,12,0
104326,5.6,14.3,7,1
94364,21.6,27.3,3,1
169237,17.9,29.4,1,1
42477,57.6,24.5,3,0
58650,11.3,18.1,1,1
79631,29.4,22.9,4,1
121465,51.5,29.0,7,0
131471,49.1,25.8,4,1
96818,21.8,14.3,14,0
175556,24.1,23.8,3,1
21319,44.2,19.0,7,0
166107,18.1,19.4,3,1
54386,35.1,9.9,10,0
139034,29.4,16.9,7,1
69656,30.5,18.8,1,1
53640,49.7,2.4,0,0
21740,24.5,0.9,12,0
52099,57.9,11.4,14,0
177750,59.2,15.4,9,0
152855,36.9,15.6,15,0
53780,51.7,6.2,15,0
86228,17.1,5.5,0,1
97490,53.7,22.8,4,0
98330,36.5,13.4,0,1
80166,12.3,12.1,6,1
62622,35.1,12.4,10,0
66403,15.5,3.2,7,0
45119,30.3,25.0,1,1
146397,40.6,1.6,4,1
26527,30.2,9.7,13,0
88843,59.5,0.5,1,0
147426,43.8,4.1,14,0
54785,17.9,26.6,0,1
92383,59.4,26.5,10,0
24898,35.4,6.0,8,0
77772,23.4,28.0,2,1
115714,16.1,24.4,5,1
167988,37.9,21.5,0,1
48034,58.8,18.3,14,0
156426,61.1,16.6,9,0
114858,36.9,21.3,4,1
65873,41.7,10.6,11,0
63355,57.4,2.2,1,0
162853,46.9,10.9,0,1
81305,17.2,7.8,12,0
16295,10.9,9.3,4,0
88104,25.5,9.9,5,0
52216,20.5,14.1,15,0
161520,58.4,16.9,13,0
103834,15.9,29.2,3,1
16960,30.8,10.3,1,0
88900,18.2,26.3,8,1
18177,11.0,14.7,2,1
57524,26.4,23.8,12,0
178597,61.0,17.9,1,1
78731,7.6,7.1,8,1
100206,17.0,15.8,5,1
151191,38.1,17.2,13,0
52458,41.2,21.3,15,0
153308,54.7,25.1,12,1
113450,23.3,18.5,10,1
115798,45.7,14.6,8,0
146723,52.3,16.3,7,0
172361,39.8,9.2,7,1
169666,9.1,17.1,14,1
108740,30.5,23.2,9,1
28811,58.6,26.5,15,0
46881,23.1,24.5,12,0
66378,23.9,19.3,2,1
36759,20.4,17.1,0,1
34678,29.0,17.9,11,0
31203,28.6,5.9,4,0
124266,37.7,4.3,5,0
147524,14.6,28.1,8,1
48677,27.2,13.6,10,0
177987,55.8,21.7,11,0
30081,36.9,0.7,1,0
111953,24.2,14.1,11,0
66813,29.3,7.2,2,0
148465,15.0,25.5,4,1
18210,63.0,26.8,2,0
174421,53.2,26.9,9,1
114781,51.7,22.6,12,0
162717,55.6,15.1,6,0
43562,59.4,12.0,5,0
90850,56.3,4.9,8,0
112922,45.9,23.7,12,1
151353,54.9,29.4,0,1
61740,7.8,8.2,4,1
112152,27.5,26.1,5,1
148613,28.1,4.2,11,0
159393,23.0,17.0,12,1
73376,49.5,2.6,6,0
115888,16.8,21.5,2,1
110801,43.1,12.8,3,0
173806,64.8,3.3,11,0
83703,53.6,29.4,7,0
124198,9.2,11.4,6,1
138405,30.8,11.9,11,1
162382,45.9,23.4,15,0
28659,11.8,6.1,4,0
171221,19.6,21.2,11,1
179666,42.9,0.9,0,1
86831,54.9,6.5,6,0
28396,46.8,8.0,3,0
84064,52.5,16.6,0,0
27964,45.0,25.5,1,0
83223,22.0,1.9,4,0
72194,64.5,8.3,13,0
133785,57.8,16.8,3,0
101588,7.8,11.1,4,1
16447,47.6,19.9,3,0
86869,36.2,12.1,4,0
114457,30.8,18.4,10,1
166342,31.6,2.4,14,0
142812,14.1,29.9,15,1
43951,43.7,21.5,3,0
36507,59.1,29.9,9,0
45354,13.2,23.9,0,1
150415,36.2,18.5,0,1
139092,9.8,7.6,0,1
70320,10.1,17.2,5,1
132169,10.4,25.0,5,1
152231,18.5,29.8,3,1
176818,60.8,20.8,6,1
72263,46.2,9.5,13,0
104699,34.2,18.6,0,1
49340,55.3,2.2,9,0
16906,51.2,3.4,6,0
56932,42.5,2.7,5,0
122282,52.4,3.9,14,0
23027,11.6,21.6,3,0
124583,9.5,6.0,8,1
73765,45.8,4.0,5,0
23733,40.7,7.4,13,0
87727,38.6,28.8,9,0
94332,50.0,21.8,6,0
106278,33.6,24.0,14,0
62542,9.6,10.4,2,1
94441,41.0,26.5,3,1
30351,35.9,8.2,11,0
163550,45.3,26.1,9,1
24310,9.6,29.9,1,1
48985,17.5,16.9,0,0
150231,56.1,11.4,14,0
47877,25.9,15.3,11,0
151433,44.1,12.8,9,0
77398,23.7,9.4,2,0
167775,46.8,12.6,14,0
18142,49.8,14.8,0,0
46305,38.9,21.9,1,0
25500,52.4,26.6,4,0
122547,64.5,1.4,11,0
144795,16.6,17.5,3,1
156215,34.4,7.4,8,1
102279,27.0,6.1,4,0
121808,8.4,4.5,6,1
147947,36.1,5.6,12,0
26387,13.8,19.9,3,1
67492,50.0,19.8,1,0
86599,64.9,7.7,14,0
155435,34.0,18.7,3,1
78212,47.8,0.3,10,0
149152,62.5,14.8,5,0
71426,35.6,21.9,9,0
136992,63.7,22.0,9,0
73324,6.1,26.1,1,1
27673,64.8,4.3,10,0
67969,48.9,10.6,5,0
71935,16.8,13.9,8,1
102927,26.4,21.5,5,1
47132,62.9,0.2,0,0
139207,30.9,27.5,12,1
27969,31.2,6.9,13,0
141570,15.9,7.5,13,1
31424,53.4,29.8,10,0
41419,5.7,16.4,5,1
66524,50.7,10.9,12,0
65748,28.0,5.5,5,0
147335,43.9,15.2,2,1
34990,53.5,1.9,5,0
20302,40.0,16.8,6,0
41969,61.6,25.3,7,0
22349,35.7,25.5,2,0
170259,32.4,23.2,1,1
106269,30.6,24.9,9,1
22618,30.7,23.0,11,0
54910,47.3,27.1,10,0
141986,45.1,1.3,5,0
172929,28.5,24.7,0,1
80820,11.2,3.6,2,1
159231,26.2,5.9,15,0
39327,62.9,26.8,10,0
69923,53.8,25.2,8,0
126406,43.8,13.0,6,1
178118,19.1,27.5,15,1
46104,54.9,6.9,10,0
118215,26.4,26.9,10,1
23210,6.9,0.7,5,0
86916,43.0,27.1,11,0
150777,64.8,8.1,2,0
80891,33.7,4.7,0,1
131535,5.3,14.4,7,1
103601,13.1,25.4,3,1
67850,26.4,23.7,14,0
32865,19.1,0.4,0,0
165199,15.6,20.3,10,1
61845,60.1,25.1,7,0
98512,45.3,4.1,10,0
91459,52.4,22.5,2,0
117160,56.9,23.8,10,0
163630,32.5,5.9,3,1
152583,12.4,8.2,1,1
137450,60.3,17.8,12,0
88885,8.8,1.9,4,1
158979,34.7,11.1,6,1
124136,41.8,8.4,15,0
155939,44.1,1.0,5,0
179248,42.0,2.3,11,0
117272,17.8,20.6,0,1
46000,55.3,19.5,9,0
147148,53.8,24.4,6,1
78032,17.5,24.4,2,1
66679,20.5,15.2,15,0
122886,38.7,29.9,0,1
171019,64.6,28.6,14,0
178698,50.6,4.4,10,0
75592,48.6,13.1,14,0
84904,36.0,28.1,12,0
91305,41.7,2.7,7,0
120978,46.2,24.0,3,1
18996,44.1,6.4,1,0
28259,9.1,1.7,5,0
107721,54.5,14.9,11,0
175640,28.9,17.4,5,1
69375,10.0,1.7,3,0
111012,42.7,11.6,14,0
51701,55.2,2.1,1,0
153860,52.5,3.4,2,0
25843,16.0,22.5,3,1
157902,5.5,20.4,12,1
131304,15.3,11.3,1,1
23505,12.3,26.6,13,0
58149,17.4,20.8,0,1
51555,20.9,25.7,0,1
65621,24.7,18.1,6,0
100360,17.4,25.4,0,1
155917,19.1,25.1,6,1
113766,22.8,1.5,10,0
177700,44.7,27.7,1,1
28135,44.1,29.9,2,0
50672,14.6,22.8,6,1
97442,53.4,21.4,15,0
128123,35.3,27.3,12,1
108547,34.8,18.9,9,0
103204,39.1,11.4,6,1
168960,61.6,22.7,2,1
23069,50.6,17.5,8,0
151228,29.4,19.9,6,1
83800,21.3,10.8,9,1
80981,61.1,6.1,9,0
110297,48.7,18.5,8,0
116929,27.1,29.3,5,1
26259,65.0,19.9,6,0
115298,64.2,23.2,0,0
162664,64.4,26.2,1,1
20500,56.3,12.1,6,0
173749,16.3,11.2,8,1
92285,28.8,0.1,13,0
98827,11.6,28.2,1,1
111461,24.4,29.4,12,1
40828,15.8,27.0,4,1
131012,43.9,24.9,1,1
25245,32.6,19.2,0,0
97700,8.9,21.4,12,1
91709,15.5,11.7,5,1
110174,24.8,20.0,7,1
72006,57.6,19.8,2,0
83073,6.4,5.2,14,0
53359,40.0,15.1,9,0
66626,10.2,3.1,12,0
23596,20.6,18.2,1,1
97029,62.0,24.9,5,0
18198,42.3,13.7,10,0
168533,62.3,11.8,1,1
50868,55.0,18.4,5,0
49854,49.6,16.2,14,0
102461,14.8,16.4,9,1
164988,27.4,3.7,0,1
168969,30.0,10.4,0,1
145653,23.2,19.3,6,1
132707,39.4,16.3,3,1
38099,40.7,24.8,13,0
53381,33.3,18.6,9,0
178222,40.2,2.6,7,0
24088,43.1,27.8,14,0
56196,53.2,11.4,6,0
95501,24.8,27.3,10,1
175175,7.1,3.7,5,1
92174,44.1,24.4,0,1
73005,10.2,11.5,2,1
175051,35.5,1.5,2,1
52510,25.1,9.1,11,0
29029,23.6,28.0,13,0
61466,44.5,14.0,9,0
100294,50.8,22.6,3,0
97426,25.4,5.2,12,0
40251,9.1,3.7,11,0
135327,10.1,17.6,6,1
112107,31.0,25.7,3,1
125967,36.8,27.5,14,0
125398,55.0,3.4,4,0
69333,25.5,17.1,6,0
105425,7.9,18.7,6,1
132345,25.4,9.7,3,1
18308,36.6,27.8,4,0
99903,35.6,9.8,13,0
111921,58.0,17.2,0,1
87255,18.5,16.5,15,1
97478,38.1,23.2,4,1
91984,6.0,9.2,2,1
130100,27.7,17.8,6,1
117747,35.1,2.1,0,0
146812,42.9,23.6,0,1
101272,11.3,26.1,9,1
102215,61.6,23.1,0,0
39042,9.0,1.9,10,0
121089,40.2,21.2,13,0
141676,46.1,18.5,2,1
112980,27.9,13.9,5,1
163590,64.1,25.6,11,0
110855,32.3,2.6,10,0
123082,30.0,29.2,1,1
164007,26.7,25.6,1,1
29524,30.1,8.1,8,0
48381,60.5,6.3,1,0
167885,47.2,14.7,3,1
73532,28.7,27.2,12,0
56378,8.3,27.6,12,1
26726,57.6,13.6,5,0
135216,36.3,9.4,1,1
107645,34.9,29.4,8,1
123478,50.0,7.1,9,0
117598,9.9,23.5,15,1
15082,60.7,8.3,6,0
83351,28.5,13.1,11,0
165588,14.8,12.0,5,1
28687,51.5,1.7,15,0
92196,24.3,8.6,5,0
137131,38.1,16.5,0,1
25979,9.0,24.7,2,1
55315,47.6,13.0,15,0
124828,21.1,27.3,13,1
135295,58.0,29.8,11,0
113702,52.8,29.3,1,1
16814,27.2,26.4,9,0
49289,19.0,26.4,13,1
85781,20.4,28.3,1,1
176782,17.0,2.1,10,1
68953,10.9,25.2,14,1
167240,64.4,26.0,15,0
73154,38.5,16.4,8,0
138277,49.4,8.0,15,0
89722,11.4,12.1,10,1
45792,58.5,18.9,14,0
84454,24.7,17.4,3,1
169508,25.1,12.9,8,1
155274,16.5,2.6,7,1
41026,35.4,1.1,7,0
63378,62.6,20.0,15,0
122990,25.7,6.0,0,1
33778,33.3,4.7,0,0
19591,41.7,23.8,0,0
21097,7.6,10.2,10,0
130162,28.6,9.8,13,0
177633,38.4,4.3,14,0
91029,32.6,24.3,11,1
118920,54.4,4.3,5,0
28820,38.2,5.0,15,0
38437,20.3,7.0,1,0
149421,44.5,18.0,5,1
151527,27.7,28.8,12,1
58607,31.2,18.2,14,0
56255,41.0,16.8,8,0
154507,33.2,11.1,5,1
110343,60.9,21.4,12,0
