annual_income,debt_to_income_ratio,credit_history_length,open_credit_lines,approved
103641,37.8,24.0,7,0
24955,26.7,28.5,6,1
48308,25.2,25.4,3,1
48093,20.3,7.4,12,0
48253,56.2,23.3,13,0
161530,19.1,4.4,2,1
120672,8.4,4.6,8,1
21359,14.0,7.0,3,0
66258,44.0,22.6,3,0
148809,32.3,13.1,0,1
149487,50.9,21.2,12,0
95222,31.8,8.9,11,0
51326,9.0,0.2,1,0
25903,42.2,27.9,12,0
81824,49.0,22.5,14,0
60232,51.3,12.9,12,0
139455,18.4,18.2,0,1
173497,12.8,16.0,0,1
144065,23.9,5.4,8,1
58895,37.0,11.4,12,0
160666,21.8,10.7,1,1
36641,36.2,29.2,7,0
168395,50.6,17.6,5,1
92135,23.5,10.8,2,1
161894,9.3,21.8,12,1
92258,27.1,13.1,8,1
131298,44.1,26.3,4,1
62496,47.2,9.9,9,0
55540,15.2,29.6,15,0
74525,14.3,6.1,5,1
15710,11.8,8.5,3,0
104179,20.9,11.9,6,1
85943,14.4,5.5,8,0
179144,16.2,24.5,12,1
151497,36.3,5.5,3,1
66867,63.1,3.1,3,0
143006,32.3,26.2,6,1
159265,59.4,8.6,0,1
76555,26.1,27.4,2,1
137959,14.8,19.3,2,1
151883,60.2,21.3,0,1
91532,16.8,17.6,12,1
175779,15.5,16.4,7,1
111652,62.7,21.6,11,0
15762,38.0,2.9,9,0
121638,41.1,2.9,14,0
148480,27.1,24.8,3,1
175437,35.0,0.4,5,1
43106,61.0,24.8,6,0
150268,22.2,3.0,9,1
102350,7.0,24.2,15,1
90307,5.8,6.9,10,1
108076,33.4,15.8,1,1
124317,19.3,26.1,2,1
29946,33.8,27.8,2,0
98451,47.6,14.1,5,0
160559,20.1,27.9,10,1
169419,10.3,23.0,14,1
40480,11.5,0.4,7,0
157742,16.9,17.6,7,1
46004,31.9,13.4,12,0
72046,24.0,26.5,5,1
86128,56.6,0.8,6,0
36001,50.4,9.0,11,0
39325,10.4,11.8,1,1
47766,37.0,7.4,5,0
23161,46.0,7.4,3,0
58693,42.6,17.1,7,0
148978,20.5,20.4,9,1
132604,57.3,19.6,0,1
23338,48.4,27.9,8,0
66934,50.6,7.1,5,0
161580,29.7,17.5,2,1
92163,46.6,26.3,6,0
98371,50.9,28.2,4,1
132238,46.6,26.8,9,0
97974,58.3,0.7,12,0
55569,27.1,11.2,1,1
161814,28.6,3.0,12,1
128916,62.0,24.8,5,0
76201,53.4,11.6,2,0
79599,28.6,12.7,11,0
92543,35.9,2.1,7,0
80214,58.9,29.4,15,0
67921,10.4,7.4,14,0
31472,18.8,19.7,6,0
88602,40.6,7.2,7,0
84751,30.9,19.9,5,0
91506,9.7,7.9,9,0
100100,6.3,6.3,4,1
120347,26.9,15.2,2,0
28321,18.2,18.6,7,0
64718,26.1,13.7,12,0
97159,21.6,21.0,0,1
152727,33.5,8.9,5,1
120307,34.2,29.9,8,1
72101,13.0,21.5,2,1
78159,9.7,4.5,12,0
176475,17.2,17.8,3,1
47615,19.4,16.7,4,0
46098,33.3,19.6,13,0
17608,30.6,20.3,2,0
117088,39.3,22.4,3,1
24871,9.3,3.7,1,0
61926,50.8,19.3,10,0
177391,50.4,27.9,15,1
54753,10.7,6.2,8,0
54326,10.6,6.7,14,0
131330,60.7,10.0,1,0
57475,14.3,24.9,1,1
47206,11.9,25.1,12,1
36129,59.4,11.0,14,0
148640,30.0,1.6,2,1
88820,41.1,21.3,1,0
155604,62.2,6.5,4,0
46667,9.1,18.8,9,1
86365,11.2,5.0,14,0
150383,16.3,2.8,14,0
30557,13.5,7.0,12,0
26539,35.3,8.2,1,0
64989,51.2,25.1,2,0
54724,31.1,25.3,15,0
53817,24.4,3.6,13,0
57930,29.5,9.9,1,0
154893,54.4,15.4,2,1
49153,5.0,17.6,9,1
76787,7.6,15.3,7,1
171559,55.6,22.3,8,1
85138,61.2,24.4,9,0
19485,48.7,24.4,5,0
179452,20.8,15.8,6,1
167444,15.7,12.6,7,1
164920,30.5,9.5,4,1
53940,41.1,26.5,11,0
45163,35.2,11.8,3,0
24110,64.2,17.7,1,0
119126,34.7,1.0,13,0
146134,62.1,16.3,0,1
86735,35.1,26.9,11,1
123649,34.8,1.0,3,0
170949,39.8,17.8,1,1
44063,51.2,13.1,6,0
157199,44.3,13.5,11,1
90852,64.6,6.9,1,0
108629,55.7,28.3,2,1
140921,56.4,23.9,5,1
85122,17.1,29.1,8,1
65457,42.7,18.6,0,1
138701,54.6,16.9,7,0
76047,60.8,5.2,11,0
49320,26.3,8.6,10,0
66785,51.2,14.9,7,0
43905,28.1,22.2,2,1
160782,15.8,20.2,1,1
144797,26.6,18.8,7,1
73088,33.3,4.5,8,0
30616,44.4,16.6,10,0
108125,15.6,7.5,15,0
176237,50.8,6.0,4,0
138268,20.2,22.2,12,1
42400,21.5,6.4,14,0
131846,27.7,5.0,15,0
93861,6.9,10.2,6,1
143990,17.8,29.6,11,1
87802,18.0,12.0,5,1
15903,33.6,11.0,12,0
178935,19.5,5.8,14,1
174844,62.2,13.7,3,0
140490,16.6,12.3,15,1
165554,31.7,21.9,12,1
176696,28.1,16.0,1,1
154701,52.6,13.0,10,0
159652,56.6,15.9,11,0
134103,48.8,12.6,7,0
80412,34.9,20.9,5,0
63889,20.8,28.0,3,1
159996,7.8,4.5,3,1
146434,19.3,8.3,5,1
78746,19.9,28.0,4,1
74534,51.0,5.2,10,0
117229,50.4,23.7,4,1
175348,27.4,27.1,15,1
41497,31.4,18.9,5,0
173155,22.3,5.1,9,1
81475,8.5,29.7,8,1
146350,42.6,1.9,11,0
119867,9.0,12.5,10,1
127419,54.0,17.4,1,1
178321,20.8,9.6,1,1
126822,58.7,1.8,4,0
71866,54.1,20.6,7,0
43003,55.9,18.4,7,0
85648,59.0,26.2,1,0
166447,61.9,11.5,1,0
138643,25.3,16.5,15,0
50157,10.3,16.8,1,1
110531,59.2,3.6,7,0
85789,17.9,27.8,14,1
100621,32.1,20.4,5,1
52564,35.5,16.7,1,0
147449,25.7,11.3,2,1
153041,14.1,1.5,11,1
162624,5.8,25.8,13,1
153223,5.7,15.0,14,1
58016,14.0,3.0,9,0
40991,30.3,18.9,2,0
136535,47.8,26.8,12,0
89173,6.4,26.3,11,1
91185,49.4,18.1,3,0
172748,7.4,29.7,14,1
45956,33.5,23.4,2,1
56751,65.0,1.3,13,0
166098,25.1,12.2,4,1
36869,27.0,17.2,2,0
171039,12.9,3.2,11,1
20804,25.7,26.6,2,1
127269,17.2,25.1,2,1
96909,34.6,4.9,3,0
111136,17.0,3.2,2,1
145846,29.8,19.5,2,1
115039,36.6,6.5,3,0
74664,32.4,17.1,6,0
27220,30.1,8.5,1,0
52074,59.6,19.8,4,0
139044,64.7,5.6,15,0
108238,47.7,27.1,14,0
141229,40.5,23.7,0,1
23388,20.8,22.2,15,0
148939,37.9,27.4,7,1
24120,61.5,16.2,11,0
125376,9.3,28.1,12,1
34818,44.9,7.7,0,0
45587,28.2,6.3,0,0
174294,53.6,0.5,6,0
101310,7.4,2.7,12,1
73966,15.0,14.4,9,1
71783,35.6,29.9,12,1
148022,56.6,22.0,4,1
52615,15.9,17.5,2,1
168909,24.8,11.5,12,1
40344,42.9,17.2,14,0
131457,20.5,10.0,6,1
74018,25.3,23.5,0,1
41960,41.8,0.9,4,0
107602,49.6,12.5,10,0
31361,10.7,28.7,1,1
169364,60.3,18.9,8,0
30974,23.7,0.5,8,0
94491,29.8,10.2,8,0
51086,61.5,13.9,12,0
49804,10.6,3.1,1,1
46107,48.7,29.2,9,0
94685,11.5,28.8,4,1
132153,48.4,8.5,2,1
77468,15.6,15.7,10,0
32721,59.3,21.6,2,0
53999,22.1,21.5,10,1
83042,30.9,1.7,7,0
87406,7.1,21.7,0,1
70581,15.5,7.3,4,1
119649,49.0,3.7,12,0
41720,46.9,12.4,2,0
72466,17.5,20.5,0,1
67866,39.2,4.8,6,0
72678,30.6,15.5,6,0
132466,29.2,4.8,2,1
174122,34.4,18.4,11,1
171633,48.3,22.2,4,1
112838,45.8,4.6,9,0
121095,29.9,20.2,0,1
43951,35.7,10.6,2,0
72404,24.4,13.6,4,1
104677,6.9,25.8,2,1
19385,45.5,24.2,7,0
52278,63.7,11.8,9,0
29850,58.2,17.8,0,0
57506,13.3,26.5,3,1
94104,25.3,6.7,13,0
50399,39.9,1.0,3,0
29809,53.6,16.8,9,0
164755,28.3,23.0,3,1
102716,55.1,24.0,11,0
142779,24.6,19.5,10,1
170658,31.5,23.2,5,1
158083,7.5,15.8,8,1
171308,63.2,16.7,5,0
134314,8.9,24.6,12,1
121950,39.3,26.3,0,1
146305,36.3,14.8,10,0
81209,64.6,20.4,12,0
174146,48.1,9.9,11,0
48889,43.5,12.1,9,0
47255,32.0,17.6,12,0
109243,60.8,17.9,1,0
52727,63.3,2.1,0,0
93937,24.7,4.1,11,0
88428,55.6,12.3,15,0
173991,47.7,28.7,10,1
93555,33.9,20.8,11,0
96775,20.8,1.8,4,1
177794,24.5,19.5,4,1
168563,6.3,2.5,7,1
80192,22.5,3.8,1,0
142178,61.7,25.2,1,1
179146,20.4,7.8,9,1
162965,48.0,7.7,4,0
179023,61.8,13.0,15,0
24561,38.8,2.3,6,0
173503,5.3,18.7,4,1
159894,19.7,0.4,1,1
68450,64.4,2.7,6,0
117121,41.7,13.7,2,0
59606,6.1,24.9,5,1
40333,5.5,18.2,11,1
19034,7.0,30.0,0,1
110182,43.3,6.7,5,0
59665,54.8,14.6,8,0
100875,38.0,0.8,1,0
156947,6.9,29.9,6,1
55710,41.6,18.5,4,0
159030,63.2,4.1,4,0
64791,46.6,5.0,15,0
105036,21.8,5.9,7,1
34029,35.0,19.2,6,0
138418,51.4,15.9,1,1
120260,25.6,5.0,11,1
116935,6.0,12.6,3,1
120476,64.2,15.8,7,0
81338,36.3,28.2,3,1
62823,16.4,6.3,7,0
42864,35.3,14.0,11,0
25414,31.8,20.0,15,0
77161,30.0,20.3,3,1
38109,61.2,14.8,12,0
135182,38.4,8.2,3,1
168038,31.7,1.6,10,1
43017,60.8,11.6,10,0
105900,42.4,23.8,13,0
163977,64.3,7.4,15,0
74181,35.3,15.2,14,0
62198,58.1,4.3,15,0
50325,18.0,20.9,3,1
159464,40.9,27.7,10,1
46158,9.0,6.6,9,0
170727,63.0,22.7,7,0
28390,58.6,13.4,13,0
123694,50.6,12.1,15,0
88960,55.7,17.3,9,0
79690,60.8,23.5,11,0
23104,52.3,22.8,2,0
78586,19.2,16.1,9,1
59977,60.7,6.8,0,0
106905,40.0,16.2,11,0
97112,56.3,14.2,13,0
50364,48.8,1.2,4,0
165116,40.7,16.9,15,1
34444,17.3,16.5,11,0
153942,50.7,7.2,9,0
93199,31.2,11.4,6,0
25449,60.7,25.9,5,0
49942,33.7,3.0,7,0
22444,14.0,12.1,7,0
169854,7.2,6.5,4,1
144986,64.7,21.1,4,0
101800,20.0,8.2,10,0
143838,57.1,3.6,3,0
69807,54.8,23.9,10,0
157583,32.2,24.4,4,1
50026,34.5,5.9,4,0
138300,41.8,4.2,1,0
20794,30.7,13.7,7,0
125275,41.9,18.5,3,1
87050,63.6,14.2,1,0
153183,45.5,26.8,0,1
169903,15.2,20.8,8,1
77422,33.9,1.2,0,0
165670,47.5,29.4,8,1
44099,53.4,22.9,10,0
50557,25.5,5.1,6,0
142860,43.6,18.6,1,1
79201,8.3,15.0,3,1
106107,35.2,26.6,15,0
69328,16.3,24.1,7,1
80867,8.5,22.4,5,1
65875,17.1,0.1,1,0
35944,29.9,8.1,11,0
154983,50.1,12.3,5,0
91850,23.0,16.9,9,1
15176,60.7,3.7,4,0
77821,31.4,25.9,11,0
113570,31.6,28.2,0,1
169550,56.6,18.4,8,1
82954,57.6,19.3,0,1
139664,55.9,28.5,7,1
